Cn Gene Value calculated;Gene;Tumor Sample Barcode;Max. Gene Sort Value;Max. Weight for nested sorting
CN gain (0.2 <= CN < 0.6);PIK3CA;BRCA-METABRIC-S1-MB-7023;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);NF1;BRCA-METABRIC-S1-MB-6359;-0,00196304;0
CN gain (0.2 <= CN < 0.6);PTEN;BRCA-METABRIC-S1-MB-6300;-2,433787e-11;0
CN gain (0.2 <= CN < 0.6);MYH9;BRCA-METABRIC-S1-MB-6237;-0,06053351;0
CN gain (0.2 <= CN < 0.6);PIK3CA;BRCA-METABRIC-S1-MB-6200;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);PIK3CA;BRCA-METABRIC-S1-MB-6192;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);PIK3CA;BRCA-METABRIC-S1-MB-6185;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);PIK3CA;BRCA-METABRIC-S1-MB-6184;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);RB1;BRCA-METABRIC-S1-MB-6183;-2,039145e-06;0
CN gain (0.2 <= CN < 0.6);PIK3CA;BRCA-METABRIC-S1-MB-6163;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);PIK3CA;BRCA-METABRIC-S1-MB-6138;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);PIK3CA;BRCA-METABRIC-S1-MB-6092;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);PIK3CA;BRCA-METABRIC-S1-MB-6060;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);SF3B1;BRCA-METABRIC-S1-MB-6044;-0,002870831;0
